nama_dosen,keahlian
"Nurman Ginting,M.Pd",Islamic EducationIslamic Studies
"Nadlrah Naimi,MA",Pendidikan Agama Islam
"Dr.Oktrigana Wirian,M.Pd",pendidikan agama islam
"Dr.Munawar Pasaribu,MA",Konversi Energi
"Dr.Nurzannah,M.Ag","Pendidikan Islam, Kurikulum Pendidikan Islam"
"Dr.Juli Maini Sitepu,S.Psi.,MA",Psikologi Perkembangan Anak
"Rahimah,S.Pd.i.,M.Pd","Pendidian Islam Anak Usia Dini, Literasi Anak Usia Dini, Media Pembelajaran"
"Dr.Syaukani Hasby,M.Ed","Metode Penelitian, Pendidikan"
"Mahmud Yunus Daulay,MA ",Pendidikan Islami Anak Usia Dini
"Dr.Riyan Pradesyah,M.E.I",ekonomi islam
"Drs.Mario Kasduri,MA",kurikulum pendidikan islam
"Dr.Hasanuddin,MA",Perbankan Syariah
"Mawaddah Nasution,M.Psi","Penanganan AUD Berkebutuhan Khusus, Metode Pengembangan Baha"
"Dr.Ibrahim Hasan,M.Pd",Pendidikan Agama Islam
"Dr.junaidi,M.Si",ilmu Komunikasi dengan Pendidikan Islam
"Dr.Ali Imran Sinaga,M.Ag", Ilmu /Kepakaran Fikih
"Khairunnisa,S.E.,M.M","Econometrica, Islamic Financial Management, Economic DevelopmentZISWAF"
"Dr.Muhammad Qorib,MA",Pemikiran Islam
"Isra Hayati,S.Pd.,M.Si",Akuntansi
"Dr.Akrim,S.Pd.I,M.Pd","Pendidikan, Pendidikan Agama Islam"
